medo,Não posso deixar de dormir e tenho uma dor de estômago horrível
tristeza,@ Alma773 quer que alguém me segure Alma! Lágrima
medo,@DavidAWatson link no worky-work
tristeza,Layin n bed com uma dor de cabeça ughhhh ... esperando na sua ligação ...
tristeza,Cerimônia de funeral ... sexta feira sombria ...
alegria,Quer sair com amigos logo!
neutro,conteúdo
tristeza,@tiffanylue eu sei que eu estava ouvindo mal hábito mais cedo e comecei freakin na sua parte = [
neutro,@dannycastillo Queremos trocar com alguém que tenha ingressos para Houston
medo,Re-pinging @ ghostridah14: por que você não foi para o baile? BC meu bf não gostou de meus amigos
tristeza,Eu deveria estar dormindo
medo,Hmmm. Http://www.djhero.com/ is down
tristeza,@carviray Charlene meu alegria. Sinto sua falta
tristeza,@kelcouch desculpe pelo menos é sexta-feira?
neutro,Não pode adormecer
medo,Engolido em seus retentores
tristeza,Ugh! Eu tenho que vencer esta música estúpida para chegar ao próximo rude!
tristeza,@BrodyJenner se você assistir as colinas em Londres, você vai perceber o que é que é porque eram semanas e semanas atrasadas, eu apenas vejo o itonlinelol
neutro,Tenho a notícia
tristeza,A tempestade está aqui e a eletricidade desapareceu
alegria,@annarosekerr concordou
tristeza,Então, com sono novamente e nem tarde é tarde. Eu falho mais uma vez.
medo,@PerezHilton lady gaga certou por não ficar impressionada com o vazamento de seu vídeo apenas para que você saiba
tristeza,Como você está convencido de que eu sempre quis você? Que sinais eu desprendi ... maldição, acho que acabei de perder outro amigo
medo,@raaaaaaek, oh, muito ruim! Espero que melhore. Já tenho problemas de sono ultimamente
alegria,Perguntando por que estou acordado às 7h
neutro,No Topic Maps fala no Balisage Markup Conference 2009 Program on-line em http://tr.im/mL6Z (via @bobdc) #topicmaps
medo,Eu comi algo, não sei o que é ... Por que eu continuo dizendo coisas sobre comida
tristeza,Tão cansado e acho que definitivamente vou ter uma infecção no ouvido. Indo para a cama cedo por uma vez.
medo,No caminho de casa n tendo 2 ofertas w Meninhas menores de idade bebendo gin no ônibus enquanto conversa sobre keggers ... droga, eu me sinto velha
tristeza,@ IsaacMascote desculpe, as pessoas são tão grosseiras com você
medo,Servidores Damm ainda estão abaixo, eu preciso bater 80 antes que todos os koxpers me passem
tristeza,Fudge .... Just BS'd que todo o papel .... Tão cansado .... Ugh eu odeio escola ..... tempo para dormir !!!!!!!!!!!
medo,EU ODIO O CANCRO. EU O raiva EU O OTOI ODEI.
raiva,É tão irritante quando começa a digitar no computador no meio da noite!
neutro,@ Cynthia123 eu não consigo dormir
neutro,Eu perdi o bl *** y bus !!!!!!!!
neutro,Sente fortes contrações, mas quer sair. Http://plurk.com/p/wxidk
neutro,SoCal! Stoked. Ou talvez não ... amanhã
